id,category,old_file,hu_title,en_title,kresz_code,wiki_file,status
utvonaltipus_autopalyakezdete,RouteType,utvonaltipus_autopalyakezdete.jpg,Autópálya kezdete,Start of motorway regulations,E-016,Hungary road sign E-016.svg,wikimedia
utvonaltipus_autopalyavege,RouteType,utvonaltipus_autopalyavege.jpg,Autópálya vége,End of motorway regulations,E-017,Hungary road sign E-017.svg,wikimedia
utvonaltipus_autoutkezdete,RouteType,utvonaltipus_autoutkezdete.jpg,Autóút kezdete,Motor vehicles only,E-018,Hungary road sign E-018.svg,wikimedia
utvonaltipus_autoutvege,RouteType,utvonaltipus_autoutvege.jpg,Autóút vége,No motor vehicles only,E-019,Hungary road sign E-019.svg,wikimedia
utvonaltipus_foutvonalkezdete,RouteType,utvonaltipus_foutvonalkezdete.jpg,Főútvonal kezdete,Priority road,B-003,Hungary road sign B-003.svg,wikimedia
utvonaltipus_foutvonalvege,RouteType,utvonaltipus_foutvonalvege.jpg,Főútvonal vége,End of Priority road,B-004,Hungary road sign B-004.svg,wikimedia
utvonaltipus_foutvonalegyenestolelter,RouteType,utvonaltipus_foutvonalegyenestolelter.jpg,"Főútvonal vonalvezetése az egyenes iránytól eltér, a vastag vonallal jelzi az irányát",Priority road different from the straight direction,,,original
utvonaltipus_foutvonalvegeelorejelzese,RouteType,utvonaltipus_foutvonalvegeelorejelzese.jpg,Főútvonal vége előrejelzése,Indicate the distance to end of Priority road,,,original
elsobseg_alljelsobsegadaskotelezo,Priority,elsobseg_alljelsobsegadaskotelezo.jpg,"Állj! Elsőbségadás kötelező! A megállás helyét jelző útburkolati jel előtt, vagy ennek hiányában a behajtás előtt meg kell állni!",Stop! Give way! You must stop before crossing the transverse line on the road and ensure the way is clear before entering the major road,B-002,Hungary road sign B-002.svg,wikimedia
elsobseg_alljelsobsegadaskotelezovastag,Priority,elsobseg_alljelsobsegadaskotelezovastag.jpg,"Állj! Elsőbségadás kötelező! A megállás helyét jelző útburkolati jel előtt, vagy ennek hiányában a behajtás előtt meg kell állni! A vastag vonallal jelzett úton érkező járművek részére!",Stop! You must give way to traffic on the major road!,,,original
elsobseg_alljelsobsegadaskotelezoelorejelzes,Priority,elsobseg_alljelsobsegadaskotelezoelorejelzes.png,Állj! Elsőbségadás kötelező tábla előrejelzése!,Distance to the STOP Give way!,,,original
elsobseg_elsobsegadaskotelezo,Priority,elsobseg_elsobsegadaskotelezo.jpg,Elsőbségadás kötelező!,Give way! You must give way to traffic on the major road,B-001,Hungary road sign B-001.svg,wikimedia
elsobseg_elsobsegadaskotelezovastag,Priority,elsobseg_elsobsegadaskotelezovastag.png,Elsőbségadás kötelező a vastag vonallal jelzett úton érkező járművek részére!,Give way! You must give way to traffic on the major road which signaled with thick line,,,original
elsobseg_elsobsegadaskotelezobicikli,Priority,elsobseg_elsobsegadaskotelezobicikli.png,Elsőbségadás kötelező a jelzett kerékpárúton érkezők részére!,Give way! You must give way to traffic on cycle way,,,original
elsobseg_elsobsegadaskotelezoelorejelzes,Priority,elsobseg_elsobsegadaskotelezoelorejelzes.png,Elsőbségadás kötelező tábla előrejelzése!,Indicate the distance to the Give way!,,,original
elsobseg_elsobsegaszembejovoforgalommalszemben,Priority,elsobseg_elsobsegaszembejovoforgalommalszemben.jpg,Elsőbség a szembejövő forgalommal szemben! A járműnek elsőbbsége van a szembejövő járművekkel szemben!,Priority over oncoming vehicles!,B-006,Hungary road sign B-006.svg,wikimedia
elsobseg_szembejovoforgalomelsobsege,Priority,elsobseg_szembejovoforgalomelsobsege.jpg,A szembejövő forgalom elsőbsége! pl. útszűkületben elsőbséget kell adni a szemböl jövő járművek részére!,Give way to oncoming vehicles!,B-005,Hungary road sign B-005.svg,wikimedia
utasitastado_kotelezohaladasiiranyegyenesen,Mandatory,utasitastado_kotelezohaladasiiranyegyenesen.jpg,Kötelező haladási irány egyenesen. A táblán jelzett irányban szabad továbbhaladni.,Proceed in direction indicated by the arrow. Ahead.,D-001,Hungary road sign D-001.svg,wikimedia
utasitastado_kotelezohaladasiiranybalra,Mandatory,utasitastado_kotelezohaladasiiranybalra.jpg,Kötelező haladási irány balra. A táblán jelzett irányban szabad továbbhaladni.,Proceed in direction indicated by the arrow. Left.,D-002,Hungary road sign D-002.svg,wikimedia
utasitastado_kotelezohaladasiiranybalra1,Mandatory,utasitastado_kotelezohaladasiiranybalra1.jpg,Kötelező haladási irány balra. A táblán jelzett irányban szabad továbbhaladni.,Proceed in direction indicated by the arrow. Left.,D-009,Hungary road sign D-009.svg,wikimedia
utasitastado_kotelezohaladasiiranybalravissza,Mandatory,utasitastado_kotelezohaladasiiranybalravissza.png,Kötelező haladási irány balra vagy visszavordulva. A táblán jelzett irányban szabad továbbhaladni.,Proceed in direction indicated by the arrow. Left or U-Turn.,D-013,Hungary road sign D-013.svg,wikimedia
utasitastado_kotelezohaladasiiranybalraesegyenesen,Mandatory,utasitastado_kotelezohaladasiiranybalraesegyenesen.jpg,Kötelező haladási irány balra és egyenesen. A táblán jelzett irányban szabad továbbhaladni.,Proceed in direction indicated by the arrow. Left and ahead.,D-004,Hungary road sign D-004.svg,wikimedia
utasitastado_kotelezohaladasiiranybalraesjobbra,Mandatory,utasitastado_kotelezohaladasiiranybalraesjobbra.jpg,Kötelező haladási irány balra és jobbra. A táblán jelzett irányban szabad továbbhaladni.,Proceed in direction indicated by the arrow. Left and Right,D-010,Hungary road sign D-010.svg,wikimedia
utasitastado_kotelezohaladasiiranyjobbra,Mandatory,utasitastado_kotelezohaladasiiranyjobbra.jpg,Kötelező haladási irány jobbra. A táblán jelzett irányban szabad továbbhaladni.,Proceed in direction indicated by the arrow. Right,D-003,Hungary road sign D-003.svg,wikimedia
utasitastado_kotelezohaladasiiranyjobbra1,Mandatory,utasitastado_kotelezohaladasiiranyjobbra1.jpg,Kötelező haladási irány jobbra. A táblán jelzett irányban szabad továbbhaladni.,Proceed in direction indicated by the arrow. Right.,D-008,Hungary road sign D-008.svg,wikimedia
utasitastado_kotelezohaladasiiranysalakban,Mandatory,utasitastado_kotelezohaladasiiranysalakban.jpg,Kötelező haladási irány a táblán jelzett nyilak szerint.,Proceed in the direction indicated by the arrows.,,,original
utasitastado_kerekparjelzettiranybanhaladhat,Mandatory,utasitastado_kerekparjelzettiranybanhaladhat.jpg,A jármű (kerékpár) jelképét feltüntető kiegészítő táblán lévő nyíl (nyilak) által jelzett irányban haladhat tovább,"Vehicle (cycle) which shown on additional board, proceed in direction indicated by the arrow.",D-037,Hungary road sign D-037.svg,wikimedia
utasitastado_autobuszjelzettiranybanhaladhat,Mandatory,utasitastado_autobuszjelzettiranybanhaladhat.jpg,A jármű (autóbusz) jelképét feltüntető kiegészítő táblán lévő nyíl (nyilak) által jelzett irányban haladhat tovább,"Vehicle (bus) which shown on additional board, proceed in direction indicated by the arrow.",D-038,Hungary road sign D-038.svg,wikimedia
utasitastado_korforgalom,Mandatory,utasitastado_korforgalom.jpg,"Körforgalom. Olyan utat jelez, amibe úgy kell behajtani hogy az út álltal körbezárt terület a vezetőtől balra essék.",Roundabout. Give way to traffic from theimmediate left before entry to roundabout.,D-017,Hungary road sign D-017.svg,wikimedia
utasitastado_kikerulesiiranybalra,Mandatory,utasitastado_kikerulesiiranybalra.jpg,Kikerülési irány balra,Keep left,D-015,Hungary road sign D-015.svg,wikimedia
utasitastado_kikerulesiiranyjobbra,Mandatory,utasitastado_kikerulesiiranyjobbra.jpg,Kikerülési irány jobbra,Keep right,D-014,Hungary road sign D-014.svg,wikimedia
utasitastado_kikerulesiiranybalrajobbra,Mandatory,utasitastado_kikerulesiiranybalrajobbra.jpg,Kikerülési irány balra és jobbra,Keep left or right,D-016,Hungary road sign D-016.svg,wikimedia
utasitastado_kerekparut,Mandatory,utasitastado_kerekparut.jpg,"Kerékpárút. Segédmotoros rokkantkocsi, gépi meghajtású kerekesszék és a kétkerekű segédmotoros kerékpár lakott területen kívül igénybe veheti, ha tábla nem tiltja.","Route for pedal cycles, disabled vehicles, mopeds",D-023,Hungary road sign D-023.svg,wikimedia
utasitastado_kerekparutvege,Mandatory,utasitastado_kerekparutvege.jpg,Kerékpárút vége,"End of route of pedal cycles, disabled vehicles, mopeds",D-024,Hungary road sign D-024.svg,wikimedia
utasitastado_kotelezolegkisebbsebesseg,Mandatory,utasitastado_kotelezolegkisebbsebesseg.jpg,"Kötelező legkisebb sebesség. Kivéve, ha ez a sebesség az út, látási viszonyok miatt a személyi és vagyonbiztonságot veszélyeztetné.","Minimum speed permitted in km per hour, unless it is impracticable or unsafe to comply",D-021,Hungary road sign D-021.svg,wikimedia
utasitastado_kotelezolegkisebbsebessegvege,Mandatory,utasitastado_kotelezolegkisebbsebessegvege.jpg,Kötelező legkisebb sebesség vége,"End of minimum speed permitted in km per hour, unless it is impracticable or unsafe to comply",D-022,Hungary road sign D-022.svg,wikimedia
utasitastado_gyalogkerekparut,Mandatory,utasitastado_gyalogkerekparut.jpg,Gyalog és kerékpárút,Shared route for pedal cycles and pedestrians,D-027,Hungary road sign D-027.svg,wikimedia
utasitastado_gyalogkerekparutvege,Mandatory,utasitastado_gyalogkerekparutvege.jpg,Gyalog és kerékpárút vége,End of shared route for pedal cycles and pedestrians,D-028,Hungary road sign D-028.svg,wikimedia
